variable,display_name,group,analysis_level,definition,formula,numerator,denominator,unit,token_rule,sentence_rule,method,preprocessing,missing_rule,zero_rule,conditional_sample,source_columns,source_dataset,source_scripts,validation_rule,interpretation,limitation,aliases
ai_concreteness_stem_collision_count,Ai Concreteness Stem Collision Count,Source / Derived,Firm-year,ai_concreteness_stem_collision_count is retained from the validated extended panel without remeasurement.,ai_concreteness_stem_collision_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_concreteness_stem_collision_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_concreteness_status,Ai Concreteness Status,Source / Derived,Firm-year,ai_concreteness_status is retained from the validated extended panel without remeasurement.,ai_concreteness_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_concreteness_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_mean,Report Concreteness Mean,Source / Derived,Firm-year,report_concreteness_mean is retained from the validated extended panel without remeasurement.,report_concreteness_mean = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_mean,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_median,Report Concreteness Median,Source / Derived,Firm-year,report_concreteness_median is retained from the validated extended panel without remeasurement.,report_concreteness_median = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_median,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_standard_deviation,Report Concreteness Standard Deviation,Source / Derived,Firm-year,report_concreteness_standard_deviation is retained from the validated extended panel without remeasurement.,report_concreteness_standard_deviation = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_standard_deviation,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_min,Report Concreteness Min,Source / Derived,Firm-year,report_concreteness_min is retained from the validated extended panel without remeasurement.,report_concreteness_min = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_min,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_max,Report Concreteness Max,Source / Derived,Firm-year,report_concreteness_max is retained from the validated extended panel without remeasurement.,report_concreteness_max = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_max,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_matched_token_count,Report Concreteness Matched Token Count,Source / Derived,Firm-year,report_concreteness_matched_token_count is retained from the validated extended panel without remeasurement.,report_concreteness_matched_token_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_matched_token_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_eligible_token_count,Report Concreteness Eligible Token Count,Source / Derived,Firm-year,report_concreteness_eligible_token_count is retained from the validated extended panel without remeasurement.,report_concreteness_eligible_token_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_eligible_token_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_unmatched_token_count,Report Concreteness Unmatched Token Count,Source / Derived,Firm-year,report_concreteness_unmatched_token_count is retained from the validated extended panel without remeasurement.,report_concreteness_unmatched_token_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_unmatched_token_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_coverage,Report Concreteness Coverage,Source / Derived,Firm-year,report_concreteness_coverage is retained from the validated extended panel without remeasurement.,report_concreteness_coverage = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_coverage,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_unique_dictionary_entries,Report Concreteness Unique Dictionary Entries,Source / Derived,Firm-year,report_concreteness_unique_dictionary_entries is retained from the validated extended panel without remeasurement.,report_concreteness_unique_dictionary_entries = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_unique_dictionary_entries,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_stem_collision_count,Report Concreteness Stem Collision Count,Source / Derived,Firm-year,report_concreteness_stem_collision_count is retained from the validated extended panel without remeasurement.,report_concreteness_stem_collision_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_stem_collision_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_status,Report Concreteness Status,Source / Derived,Firm-year,report_concreteness_status is retained from the validated extended panel without remeasurement.,report_concreteness_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_word_count,보고서 유효 단어 수,Document Controls,Whole 10-K report,hidden metadata와 제외된 table block을 처리한 분석 텍스트에서 WORD_RE로 추출한 alphabetic-containing token의 수이다.,Wordsᵢₜ = Σₖ 1(token k matches WORD_RE and contains alphabetic character),Count of eligible word tokens,해당 없음,Words,WORD_RE tokenization; alphabetic-containing tokens,All included analysis sentences,language_measurement_common.tokens(),"Cleaned analysis text, tables handled by extraction pipeline",Missing when source text control is missing.,Empty valid text = 0 only when source explicitly records it.,All firm-year observations,report_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/measure_report_level_controls.py|scripts/language_measurement_common.py,Non-negative integer.,Report length in eligible tokens.,"Length is affected by filing structure, regulation and extraction choices.",log_report_word_count
log_report_word_count,Log Report Word Count,Source / Derived,Firm-year,log_report_word_count is retained from the validated extended panel without remeasurement.,log_report_word_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,log_report_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_sentence_count,Report Sentence Count,Source / Derived,Firm-year,report_sentence_count is retained from the validated extended panel without remeasurement.,report_sentence_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_paragraph_count,Report Paragraph Count,Source / Derived,Firm-year,report_paragraph_count is retained from the validated extended panel without remeasurement.,report_paragraph_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_paragraph_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_mean_sentence_length,Report Mean Sentence Length,Source / Derived,Firm-year,report_mean_sentence_length is retained from the validated extended panel without remeasurement.,report_mean_sentence_length = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_mean_sentence_length,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_fog_index,Report Fog Index,Source / Derived,Firm-year,report_fog_index is retained from the validated extended panel without remeasurement.,report_fog_index = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_fog_index,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_numeric_token_ratio,Report Numeric Token Ratio,Source / Derived,Firm-year,report_numeric_token_ratio is retained from the validated extended panel without remeasurement.,report_numeric_token_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_numeric_token_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_ai_term_count,Report Ai Term Count,Source / Derived,Firm-year,report_ai_term_count is retained from the validated extended panel without remeasurement.,report_ai_term_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_ai_term_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_ai_terms_per_1000_words,Report Ai Terms Per 1000 Words,Source / Derived,Firm-year,report_ai_terms_per_1000_words is retained from the validated extended panel without remeasurement.,report_ai_terms_per_1000_words = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_ai_terms_per_1000_words,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_table_text_word_count,Report Table Text Word Count,Source / Derived,Firm-year,report_table_text_word_count is retained from the validated extended panel without remeasurement.,report_table_text_word_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_table_text_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_table_text_ratio,Report Table Text Ratio,Source / Derived,Firm-year,report_table_text_ratio is retained from the validated extended panel without remeasurement.,report_table_text_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_table_text_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
source_html_bytes,Source Html Bytes,Source / Derived,Firm-year,source_html_bytes is retained from the validated extended panel without remeasurement.,source_html_bytes = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,source_html_bytes,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
analysis_text_bytes,Analysis Text Bytes,Source / Derived,Firm-year,analysis_text_bytes is retained from the validated extended panel without remeasurement.,analysis_text_bytes = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,analysis_text_bytes,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
analysis_text_to_html_ratio,Analysis Text To Html Ratio,Source / Derived,Firm-year,analysis_text_to_html_ratio is retained from the validated extended panel without remeasurement.,analysis_text_to_html_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,analysis_text_to_html_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_control_status,Report Control Status,Source / Derived,Firm-year,report_control_status is retained from the validated extended panel without remeasurement.,report_control_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_control_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_positive_count,Report Positive Count,Source / Derived,Firm-year,report_positive_count is retained from the validated extended panel without remeasurement.,report_positive_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_positive_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_negative_count,Report Negative Count,Source / Derived,Firm-year,report_negative_count is retained from the validated extended panel without remeasurement.,report_negative_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_negative_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_net_tone,Report Net Tone,Source / Derived,Firm-year,report_net_tone is retained from the validated extended panel without remeasurement.,report_net_tone = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_net_tone,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_uncertainty_count,Report Uncertainty Count,Source / Derived,Firm-year,report_uncertainty_count is retained from the validated extended panel without remeasurement.,report_uncertainty_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_uncertainty_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_uncertainty_ratio,Report Uncertainty Ratio,Source / Derived,Firm-year,report_uncertainty_ratio is retained from the validated extended panel without remeasurement.,report_uncertainty_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_uncertainty_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_weak_modal_count,Report Weak Modal Count,Source / Derived,Firm-year,report_weak_modal_count is retained from the validated extended panel without remeasurement.,report_weak_modal_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_weak_modal_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_weak_modal_ratio,Report Weak Modal Ratio,Source / Derived,Firm-year,report_weak_modal_ratio is retained from the validated extended panel without remeasurement.,report_weak_modal_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_weak_modal_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_strong_modal_count,Report Strong Modal Count,Source / Derived,Firm-year,report_strong_modal_count is retained from the validated extended panel without remeasurement.,report_strong_modal_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_strong_modal_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_strong_modal_ratio,Report Strong Modal Ratio,Source / Derived,Firm-year,report_strong_modal_ratio is retained from the validated extended panel without remeasurement.,report_strong_modal_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_strong_modal_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_litigious_count,Report Litigious Count,Source / Derived,Firm-year,report_litigious_count is retained from the validated extended panel without remeasurement.,report_litigious_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_litigious_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_litigious_ratio,Report Litigious Ratio,Source / Derived,Firm-year,report_litigious_ratio is retained from the validated extended panel without remeasurement.,report_litigious_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_litigious_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_constraining_count,Report Constraining Count,Source / Derived,Firm-year,report_constraining_count is retained from the validated extended panel without remeasurement.,report_constraining_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_constraining_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_constraining_ratio,Report Constraining Ratio,Source / Derived,Firm-year,report_constraining_ratio is retained from the validated extended panel without remeasurement.,report_constraining_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_constraining_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_forward_looking_count,Report Forward Looking Count,Source / Derived,Firm-year,report_forward_looking_count is retained from the validated extended panel without remeasurement.,report_forward_looking_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_forward_looking_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_forward_looking_ratio,Report Forward Looking Ratio,Source / Derived,Firm-year,report_forward_looking_ratio is retained from the validated extended panel without remeasurement.,report_forward_looking_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_forward_looking_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_positive_ratio,Report Positive Ratio,Source / Derived,Firm-year,report_positive_ratio is retained from the validated extended panel without remeasurement.,report_positive_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_positive_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_negative_ratio,Report Negative Ratio,Source / Derived,Firm-year,report_negative_ratio is retained from the validated extended panel without remeasurement.,report_negative_ratio = source-defined numerator / source-defined denominator,Source-defined or not applicable,Source-defined or not applicable,Proportion,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_negative_ratio,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
